title;km;price;features;car_location;car_city;url;image_link
Mini Cooper 2021 #186193 ; 12100 KM ; Precio: $569999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '186193 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/mini-cooper-pepper-2021-compra-de-autos-186193;https://images.kavak.services/images/186193/EXTERIOR-frontSidePilotNear-1652115680363.jpeg?d=540x310
Mercedes Benz Clase Gla 2015 #186137 ; 56000 KM ; Precio: $379999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '186137 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/mercedes-benz-clase-gla-gla-200-cgi-sport-2015-compra-de-autos-186137;https://images.kavak.services/images/186137/EXTERIOR-frontSidePilotNear-1651869506755.jpeg?d=540x310
Audi Q3 Quattro 2015 #185969 ; 86100 KM ; Precio: $330999;{' Transmisión': 'Automática', 'Tracción': '4x4', 'Stock ID': '185969 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/audi-q3-quattro-luxury-2015-compra-de-autos-185969;https://images.kavak.services/images/185969/EXTERIOR-frontSidePilotNear-1651871213276.jpeg?d=540x310
Kia Forte 2017 #185968 ; 97500 KM ; Precio: $264999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '185968 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-forte-sx-2017-compra-de-autos-185968;https://images.kavak.services/images/185968/EXTERIOR-frontSidePilotNear-1652477931235.jpeg?d=540x310
Nissan X Trail 2018 #185846 ; 83000 KM ; Precio: $340999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '185846 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-x-trail-sense-2018-compra-de-autos-185846;https://images.kavak.services/images/185846/EXTERIOR-frontSidePilotNear-1651610067030.jpeg?d=540x310
Audi Q3 2016 #185793 ; 115500 KM ; Precio: $355999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '185793 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/audi-q3-luxury-2016-compra-de-autos-185793;https://images.kavak.services/images/185793/EXTERIOR-frontSidePilotNear-1651847266848.jpeg?d=540x310
Honda BR-V 2018 #185748 ; 74400 KM ; Precio: $328999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '185748 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/honda-br-v-prime-2018-compra-de-autos-185748;https://images.kavak.services/images/185748/EXTERIOR-frontSidePilotNear-1651942566158.jpeg?d=540x310
Volkswagen Gol 2018 #185682 ; 24200 KM ; Precio: $193999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '185682 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/volkswagen-gol-trendline-2018-compra-de-autos-185682;https://images.kavak.services/images/185682/EXTERIOR-frontSidePilotNear-1651266910939.jpeg?d=540x310
Audi A1 2018 #185667 ; 39500 KM ; Precio: $337999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '185667 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/audi-a1-hatch-back-cool-2018-compra-de-autos-185667;https://images.kavak.services/images/185667/EXTERIOR-frontSidePilotNear-1651611462237.jpeg?d=540x310
Kia Soul 2020 #185663 ; 38700 KM ; Precio: $298999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '185663 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-soul-lx-2020-compra-de-autos-185663;https://images.kavak.services/images/185663/EXTERIOR-frontSidePilotNear-1651505868377.jpeg?d=540x310
Kia Rio 2018 #185647 ; 102200 KM ; Precio: $251999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '185647 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-rio-hb-ex-2018-compra-de-autos-185647;https://images.kavak.services/images/185647/EXTERIOR-frontSidePilotNear-1653576986437.jpeg?d=540x310
Mini Cooper 2019 #185544 ; 62300 KM ; Precio: $428999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '185544 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/mini-cooper-chili-2019-compra-de-autos-185544;https://images.kavak.services/images/185544/EXTERIOR-frontSidePilotNear-1652453470347.jpeg?d=540x310
Hyundai Elantra 2019 #185410 ; 39000 KM ; Precio: $311999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '185410 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/hyundai-elantra-gls-2019-compra-de-autos-185410;https://images.kavak.services/images/185410/EXTERIOR-frontSidePilotNear-1651264155339.jpeg?d=540x310
Jeep Renegade 2019 #185363 ; 16300 KM ; Precio: $363999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '185363 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/jeep-renegade-sport-2019-compra-de-autos-185363;https://images.kavak.services/images/185363/EXTERIOR-frontSidePilotNear-1651162156972.jpeg?d=540x310
Kia Forte 2019 #185358 ; 31400 KM ; Precio: $258999;{' Tracción': '4x2', 'Transmisión': 'Manual', 'Stock ID': '185358 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-forte-l-2019-compra-de-autos-185358;https://images.kavak.services/images/185358/EXTERIOR-frontSidePilotNear-1651152948230.jpeg?d=540x310
Nissan NP300 Frontier 2017 #185286 ; 57600 KM ; Precio: $388999;{' Tracción': '4x2', 'Transmisión': 'Manual', 'Stock ID': '185286 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-np300-frontier-le-2017-compra-de-autos-185286;https://images.kavak.services/images/185286/EXTERIOR-frontSidePilotNear-1651763044719.jpeg?d=540x310
Dodge Grand Caravan 2017 #185230 ; 97100 KM ; Precio: $355999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '185230 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/dodge-grand-caravan-sxt-plus-2017-compra-de-autos-185230;https://images.kavak.services/images/185230/EXTERIOR-frontSidePilotNear-1651613015502.jpeg?d=540x310
Hyundai Elantra 2017 #185120 ; 90400 KM ; Precio: $253999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '185120 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/hyundai-elantra-gls-premium-2017-compra-de-autos-185120;https://images.kavak.services/images/185120/EXTERIOR-frontSidePilotNear-1651008249671.jpeg?d=540x310
Hyundai Grand i10 2020 #184874 ; 50826 KM ; Precio: $220999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '184874 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/hyundai-grand-i10-hatch-back-gl-mid-2020-compra-de-autos-184874;https://images.kavak.services/images/184874/EXTERIOR-frontSidePilotNear-1652476602402.jpeg?d=540x310
Renault Duster 2018 #184738 ; 50800 KM ; Precio: $266999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '184738 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/renault-duster-dakar-2018-compra-de-autos-184738;https://images.kavak.services/images/184738/EXTERIOR-frontSidePilotNear-1650920586111.jpeg?d=540x310
Audi A3 2016 #184667 ; 109100 KM ; Precio: $318999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '184667 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/audi-a3-ambiente-14t-2016-compra-de-autos-184667;https://images.kavak.services/images/184667/EXTERIOR-frontSidePilotNear-1651167720905.jpeg?d=540x310
Volkswagen Tiguan 2016 #184630 ; 112000 KM ; Precio: $307999;{' Transmisión': 'Automática', 'Tracción': '4x2', 'Stock ID': '184630 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/volkswagen-tiguan-sport-y-style-2016-compra-de-autos-184630;https://images.kavak.services/images/184630/EXTERIOR-frontSidePilotNear-1652201860180.jpeg?d=540x310
Ford Figo 2017 #184545 ; 67700 KM ; Precio: $166999;{' Tracción': '4x2', 'Transmisión': 'Manual', 'Stock ID': '184545 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/ford-figo-hb-energy-2017-compra-de-autos-184545;https://images.kavak.services/images/184545/EXTERIOR-frontSidePilotNear-1650639694477.jpeg?d=540x310
